 nx ny nz cryst_bool x_ev y_ev z_ev
0 0 0 0 0.36245683361365844 -0.4323089240345091 0.7837865095519222 0.44585614456295164
1 0 0 1 0.2688085191345649 0.7935448041664699 -0.2600822600735375 0.5501307678865451
2 0 0 2 0.6354788471086837 0.24811287529474835 0.9617210692574278 0.11632964394049777
3 0 0 3 0.48196273597734907 0.29855040047964804 -0.13913591308011752 0.9441974666693422
4 0 0 4 0.648834904852867 0.205370211725156 -0.08842159585133447 0.9746818442564058
5 0 0 5 0.9449650681388367 0.3957885683963603 -0.2795026786637155 0.8747740632566603
6 0 0 6 0.980953288818026 0.4125024180376299 -0.31540608522590297 0.8546114652376124
7 0 0 7 0.9872659965809532 0.37736406522868476 -0.3066270944549311 0.873828465558434
8 0 0 8 0.9218895685743027 0.325042093788113 -0.23009909035727716 0.9172796988283309
9 0 0 9 0.45968639795616817 0.8076577624820436 -0.18974566137330984 0.5582880284338041
10 0 0 10 0.8160364776575627 -0.6492486438115039 0.7164666482106513 0.2552483898298234
11 0 0 11 0.9408154595354492 -0.6119191056541755 0.7525554224477693 0.24334203146981015
12 0 0 12 0.8129229680921417 -0.5871429874866905 0.7445910452819354 0.31756461945745584
13 0 0 13 0.39760785186457664 -0.08805017155227157 0.3450735183378249 0.934436425997815
14 0 0 14 0.26719047931379447 -0.6732598953726663 -0.6775633577052863 0.2960219748226888
15 0 0 15 0.1671561282525894 0.696572584391515 -0.4347135852844508 0.5707983299233307
16 0 0 16 0.227755981911218 0.1130801954054505 0.7099976768512276 0.6950655855909749
17 0 0 17 0.3535831119909351 0.7195262423443344 -0.3880413375877937 0.5759391520819871
18 0 0 18 0.39006067553000273 -0.46586215296853106 0.7254002593619877 0.5067217364087373
19 0 0 19 0.33750931688135816 -0.5680262856594711 -0.027643266034699465 0.8225460404395852
20 0 0 20 0.2795099830090077 -0.3962326663739157 0.8102331194112588 0.43188188930229254
21 0 0 21 0.16896549349905265 0.8875817950709095 -0.1286790891615317 0.4423123885572964
22 0 0 22 0.16481678794974491 0.8038130702006626 -0.5556117852181071 0.21255609212942378
23 0 0 23 0.5925609261258029 -0.32438678314712044 0.041701943984762235 0.945004848023202
24 0 0 24 0.3655684509764161 0.4494985482519904 0.5742107429724655 0.6842755861305891
25 0 0 25 0.7840957842592784 -0.37469612005444425 0.9215035143450483 0.10214739676502221
26 0 0 26 0.9375459179847219 -0.4295039442181266 0.8936122459818562 0.1303208184916516
27 0 0 27 0.7100682914980082 -0.29637309312546245 0.9151814274765666 0.2731408875895364
28 0 0 28 0.7496059652076946 -0.26579643588663193 0.922816195969276 0.2788593249772347
29 0 1 0 0.9433316573554406 -0.2809297915044221 0.9410391390051803 0.18847756127897802
30 0 1 1 0.6253038843750656 -0.28774595030682293 0.9569943319872846 0.036933949507649784
31 0 1 2 0.34918304182034665 0.6558485110332348 -0.7481950260514711 0.10033410969021073
32 0 1 3 0.28908607870272296 -0.6589848126311648 0.2560822840689797 0.7072205317349625
33 0 1 4 0.5710105573056248 0.332864256214236 -0.2696975400535826 0.9035843202623592
34 0 1 5 0.9754458865924098 0.3916030439034748 -0.2948474664180015 0.8716146095336048
35 0 1 6 0.9861753818491363 0.35592551243513054 -0.32598848066053043 0.8758130737060442
36 0 1 7 0.9887249385630928 0.40310483754742965 -0.286755522076676 0.8690671783610245
37 0 1 8 0.8629411882773093 0.3170030135814885 -0.2809143681018236 0.9058676543371044
38 0 1 9 0.26733595435109764 0.7918177449238457 0.49908253527677826 0.35205295312696805
39 0 1 10 0.16576161951435348 -0.1274310701921831 0.14125677328134317 0.9817371574672205
40 0 1 11 0.4318001525439891 -0.16957407271049824 -0.9414715237181106 0.29133486556242105
41 0 1 12 0.2767509212130386 0.6021858751639787 0.25173817947605515 0.7576279170853422
42 0 1 13 0.16123322761616937 0.8417252040916083 0.50718563861775 0.18509837594329492
43 0 1 14 0.3201810599916234 -0.5382717084431271 -0.7666472906355002 0.35002214165815915
44 0 1 15 0.800851452868897 -0.6419547801369996 -0.6174437936480596 0.45459566863835077
